"Source:","C:\Users\Q\Documents\KiCad\Projects\nocny_dreczyciel\nocny_dreczyciel.kicad_sch"
"Date:","13/04/2022 19:37:21"
"Tool:","Eeschema (6.0.4)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","13"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","BT1","3V","Custom_Generic:Battery_Cell","VeeCad:CR2032_H",""
"","","C1","100μF","Custom_Generic:C_Polarized","VeeCad:RA1_2",""
"","","FT1","clear","Custom_Generic:NPN_Photo","VeeCad:LED",""
"","","R1","47kΩ","Custom_Generic:R","VeeCad:AX3_1N",""
"","","R2","1kΩ","Custom_Generic:R","VeeCad:AX3_1N",""
"","","R3","1MΩ","Custom_Generic:R","VeeCad:AX3_1N",""
"","","R4","22kΩ","Custom_Generic:R","VeeCad:AX3_1N",""
"","","R5","1MΩ","Custom_Generic:R","VeeCad:AX3_1N",""
"","","R6","220kΩ","Custom_Generic:R","VeeCad:AX3_1N",""
"","","T1","BC558","Custom_Generic:PNP BJT","VeeCad:TO92",""
"","","T2","BC558","Custom_Generic:PNP BJT","VeeCad:TO92",""
"","","T3","BC548","Custom_Generic:NPN BJT","VeeCad:TO92",""
"","","Y1","piezo 3..6V","Custom_Generic:Buzzer_Active","VeeCad:BUZR_23_L",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","BT1","3V","Custom_Generic:Battery_Cell","VeeCad:CR2032_H",""
"2","1","C1","100μF","Custom_Generic:C_Polarized","VeeCad:RA1_2",""
"3","1","FT1","clear","Custom_Generic:NPN_Photo","VeeCad:LED",""
"4","1","R1","47kΩ","Custom_Generic:R","VeeCad:AX3_1N",""
"5","1","R2","1kΩ","Custom_Generic:R","VeeCad:AX3_1N",""
"6","2","R3, R5","1MΩ","Custom_Generic:R","VeeCad:AX3_1N",""
"7","1","R4","22kΩ","Custom_Generic:R","VeeCad:AX3_1N",""
"8","1","R6","220kΩ","Custom_Generic:R","VeeCad:AX3_1N",""
"9","2","T1, T2","BC558","Custom_Generic:PNP BJT","VeeCad:TO92",""
"10","1","T3","BC548","Custom_Generic:NPN BJT","VeeCad:TO92",""
"11","1","Y1","piezo 3..6V","Custom_Generic:Buzzer_Active","VeeCad:BUZR_23_L",""
